composition,phase,density,hv,yield_strength,young_modulus
Nb1 Ta1 Ti1 W1,BCC,12.1,,564,198
Nb1 Ta1 Ti1 W1,BCC,12.1,,459,198
Hf1 Nb1 Ta1 Ti1,BCC,10.9,,860,119
Hf1 Nb1 Ta1 Ti1,BCC,10.9,,834,119
Hf1 Nb1 Ta1 Ti1,BCC,10.9,,610,119
Hf1 Nb1 Ta1 Ti1,BCC,10.9,,473,119
Cr1 Mo1 Nb1 Ti1,BCC,7.6,,1630,196
Cr1 Mo1 Nb1 Ti1,BCC,7.6,,1268,196
Cr1 Mo1 Nb1 Ti1,BCC,7.6,,1115,196
Cr1 Mo1 Nb1 Ti1,BCC,7.6,,1062,196
Cr1 Mo1 Nb1 Ti1,BCC,7.6,,1058,196
Cr1 Mo1 Ta1 Ti1,BCC+Laves,9.9,,1795,
Cr1 Mo1 Ta1 Ti1,BCC+Laves,9.9,,1506,
Cr1 Mo1 Ta1 Ti1,BCC+Laves,9.9,,1266,
Cr1 Mo1 Ta1 Ti1,BCC+Laves,9.9,,1183,
Cr1 Mo1 Ta1 Ti1,BCC+Laves,9.9,,1175,
Cr1 Mo1 Ta1 Ti1,BCC+Laves,9.9,,1162,
Cr1 Mo1 Ta1 Ti1,BCC+Laves,9.9,,1162,
Cr1 Mo1 Ta1 Ti1,BCC+Laves,9.9,,1159,
Hf0.25 Ti1 V0.5 Zr0.5,BCC,6.5,338.3,1160,100
Hf0.25 Ti1 V0.5 Zr0.5,BCC,6.5,338.3,405,100
Hf0.25 Ti1 V0.5 Zr0.5,BCC,6.5,338.3,85,100
Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,BCC,6.6,332.4,1115,100
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC,6.7,322.5,1065,100
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC,6.7,322.5,718,100
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC,6.7,322.5,135,100
Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,BCC,6.8,318.9,1025,100
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC,6.9,310.4,980,101
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC,6.9,310.4,859,101
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC,6.9,310.4,195,101
Cr1 Cu1 Fe1 Mn1 Ni1,Other,8.1,398,1190,
Cr1 Cu1 Fe1 Mn1 Ni1,Other,8.1,367,1170,
Cr1 Cu1 Fe1 Mn1 Ni1,Other,8.1,312,1030,
Cr1 Cu1 Fe1 Mn1 Ni1,Other,8.1,271,970,
Cr1 Cu1 Fe1 Mn1 Ni1,Other,8.1,183,850,
Cr1 Cu1 Fe1 Mn1 Ni1,Other,8.1,162,470,
Co0.476 Cr0.476 Fe0.476 Nb0.095 Ni1,FCC+Laves,8.3,,170,
Co0.476 Cr0.476 Fe0.476 Nb0.19 Ni1,FCC+Laves,8.4,,640,
Co0.476 Cr0.476 Fe0.476 Nb0.095 Ni1,FCC+Laves+Sec.,8.3,,560,
Co0.476 Cr0.476 Fe0.476 Nb0.19 Ni1,FCC+Laves,8.4,,,
C0.053 Co1 Cr1 Fe1 Mn1 Ni1,FCC+Sec.,8,345,,
C0.053 Co1 Cr1 Fe1 Mn1 Ni1,FCC+Sec.,8,285,,
Al1 Co1 Cr1 Fe1 Ni1,BCC+FCC,6.7,550,1221.1,
Al1 Co1 Cr1 Fe1 Ni1,BCC+FCC,6.7,510,1186.7,
Al1 Co1 Cr1 Fe1 Ni1,BCC+FCC,6.7,503,1112.9,
Cr1 Mo1 Nb1 Ti1 W1,BCC+Laves,9.9,,2500,
Cr1 Mo1 Nb1 Ti1 W1,BCC+Laves,9.9,,1260,
Cr1 Mo1 Nb1 Ti1 W1,BCC+Laves,9.9,,1630,
Cr1 Mo1 Nb1 Ti1 W1,BCC+Laves,9.9,,2030,
Cr1 Mo1 Nb1 Ti1 W1,BCC+Laves,9.9,,1920,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2,6.7,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2,6.7,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,6.7,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,6.7,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,6.7,,520,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,6.7,,1150,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,6.7,,1287,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,6.7,,1286,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,6.7,,1390,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,6.7,,1626,
Cr1 Fe1 Mn1 Ni1,FCC,7.8,,,222
Co0.25 Cr0.25 Fe1 Mn1,FCC,7.7,,213,212
Co0.25 Cr0.25 Fe1 Mn1,FCC,7.7,,393,212
Co0.25 Cr0.25 Fe1 Mn1,FCC,7.7,,792,212
Co0.25 Cr0.25 Fe1 Mn1,FCC,7.7,,559,212
Co0.25 Cr0.25 Fe1 Mn1,FCC,7.7,,512,212
Co0.25 Cr0.25 Fe1 Mn1,FCC,7.7,,476,212
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,,353,220
C0.041 Co1 Cr1 Fe1 Mn1 Nb0.041 Ni1,FCC+Sec.,8,,732,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+HCP,7.3,,1500,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,BCC,7.3,,,102
Al0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+HCP,7.3,,1200,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+HCP,7.3,,2100,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+HCP,7.3,,1740,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+HCP,7.3,,1630,
Mo1 Nb1 Ta1 W1,BCC,13.7,504.5,1217,250
Mo1 Nb1 Si0.25 Ta1 W1,BCC+Sec.,12.9,567,1826,
Mo1 Nb1 Si0.5 Ta1 W1,BCC+Sec.,12.2,697,1883,
Mo1 Nb1 Si0.75 Ta1 W1,BCC+Sec.,11.6,682.6,2483,
Mo1 Nb1 Ta1 W1,BCC,13.7,420,,250
Mo1 Nb1 Si0.25 Ta1 W1,BCC+Sec.,12.9,425,,
Mo1 Nb1 Si0.5 Ta1 W1,BCC+Sec.,12.2,535,,
Mo1 Nb1 Si0.75 Ta1 W1,BCC+Sec.,11.6,640,,
Mo1 Nb1 Ta1 W1,BCC,13.7,425,,250
Mo1 Nb1 Si0.25 Ta1 W1,BCC+Sec.,12.9,420,,
Mo1 Nb1 Si0.5 Ta1 W1,BCC+Sec.,12.2,560,,
Mo1 Nb1 Si0.75 Ta1 W1,BCC+Sec.,11.6,600,,
Mo1 Nb1 Ta1 W1,BCC,13.7,340,,250
Mo1 Nb1 Si0.25 Ta1 W1,BCC+Sec.,12.9,425,,
Mo1 Nb1 Si0.5 Ta1 W1,BCC+Sec.,12.2,540,,
Mo1 Nb1 Si0.75 Ta1 W1,BCC+Sec.,11.6,650,,
Mo1 Nb1 Ta1 W1,BCC,13.7,335.5,,250
Mo1 Nb1 Si0.25 Ta1 W1,BCC+Sec.,12.9,399.2,,
Mo1 Nb1 Si0.5 Ta1 W1,BCC+Sec.,12.2,550.5,,
Mo1 Nb1 Si0.75 Ta1 W1,BCC+Sec.,11.6,597.3,,
Mo1 Nb1 Si0.75 Ta1 W1,BCC+Sec.,11.6,,960,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,,1199.26,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,,1269.23,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,,1371.21,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,,1362.74,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,,1241.81,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,,930.3,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,,729.21,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,,494.82,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,,366.88,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,,290.65,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,,258.76,220
C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,FCC+Sec.,7.8,457,1616,
C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,FCC+Sec.,7.8,461,1652,
C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,FCC+Sec.,7.8,428,1490,
C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,FCC+Sec.,7.8,378,1194,
Co1 Cr1 Fe1 Ni1,FCC,8.2,,,226
Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,7.3,250,,
Al1 Co1 Cr1 Fe1 Ni1,BCC,6.7,500,,184
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,5.9,733,,160
Al0.5 Co1 Fe1 Ni1 Ti0.5,FCC+BCC,6.9,733,,
Al0.5 Co1 Cr1 Fe1 Ni1 Ti0.5,FCC+FCC,6.9,640,,
Al0.5 Co1 Cr1 Fe1 Mn1 Ni1,,7.4,,,
Al0.5 Co1 Cr1 Fe1 Mn1 Ni1 Ta0.2,FCC+BCC+Sec.,7.8,385,,
Al0.5 Co1 Cr1 Fe1 Mn1 Ni1 Ta0.4,FCC+BCC+Sec.,8.3,486,,
Al0.55 Co1 Cr1 Fe1 Mn1 Ni1 Ta0.6,FCC+BCC+Sec.,8.6,570,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,8,,,
Co1 Cr1 Fe1 Mn1 Ni1 Ta0.2,FCC+BCC,8.5,200,,
Co1 Cr1 Fe1 Mn1 Ni1 Ta0.4,FCC+BCC,9,290,,
Co1 Cr1 Fe1 Mn1 Ni1 Ta0.6,FCC+BCC,9.4,345,,
Al0.3 Co1 Cr1 Fe1 Ni1,FCC,7.6,160,,210
Al0.3 Co1 Cr1 Fe1 Mo0.1 Ni1,FCC,7.7,200,,214
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,FCC,7.5,,280,204
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,FCC,7.2,,320,195
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,FCC,7.5,,1253,204
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,FCC,7.2,,1400,195
Co1 Cu1 Fe1 Mn1 Ni1,FCC,8.4,,,189
Co1 Cu1 Fe1 Mn1 Ni1,FCC,8.4,,,189
Co1 Cu1 Fe1 Mn1 Ni1,FCC,8.4,,,189
Co1 Cr1 Fe1 Mo0.15 Ni1,FCC,8.3,,489,231
Co1 Cr1 Fe1 Mo0.15 Ni1,,8.3,,873,
Co1 Cr1 Fe1 Mo0.15 Ni1,,8.3,,952,
Co1 Cr1 Fe1 Mo0.15 Ni1,FCC,8.3,,1136,231
Co1 Cr1 Fe1 Mo0.15 Ni1,FCC,8.3,,1301,231
Co1 Cr1 Fe1 Mo0.15 Ni1,,8.3,,1311,
Co1 Cr1 Fe1 Mo0.15 Ni1,,8.3,,1273,
Co0.139 Cr0.446 Cu0.99 Ni1 Si0.277,,7.6,142.5,777,
Co0.139 Cr0.446 Cu0.99 Ni1 Si0.277,,7.6,147.4,,
Co0.139 Cr0.446 Cu0.99 Ni1 Si0.277,,7.6,155.2,,
Al1 Co1 Cr0.091 Nb0.727 W0.212,,7.2,1084,,
Co1 Cr0.917 Ni1 Ta0.5 Ti0.75,,8.8,1011,,
Al0.947 Co0.158 Mo1 Ni0.289 W0.237,,8,725,,
Co0.043 Nb0.638 Ni1 Ta0.255 Ti0.191,,9.5,815,,
Co0.273 Cr0.477 Nb0.477 Ni0.045 Ti1,,6.4,422,,
Co1 Cr0.487 Nb0.231 Ta0.026 Ti0.821,,6.9,856,,
Co0.564 Nb0.795 Ta0.103 Ti1 W0.103,,7.7,277,,
Al1 Co1 Cu1 Fe1 Ni0.5,FCC+BCC+B2,6.9,430.9,929,
Al1 Co1 Cu1 Fe1 Ni0.8,FCC+BCC+B2,7,420,1021,
Al1 Co1 Cu1 Fe1 Ni1,FCC+BCC+B2,7,391.4,994,
Al0.667 Co0.667 Cu0.667 Fe0.667 Ni1,FCC+BCC+B2,7.2,323.8,680,
Al0.5 Co0.5 Cu0.5 Fe0.5 Ni1,FCC+BCC+B2,7.3,299.2,544,
Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,FCC,7.5,279.6,268,167
Al0.5 Cr1 Fe1 Mn1 Ni1,BCC+B2,7.1,353,1091,
Al0.6 Cr1 Fe1 Mn1 Ni1,BCC+B2,6.9,361,1130,
Al0.7 Cr1 Fe1 Mn1 Ni1,BCC+B2,6.8,375,1170,
Al0.8 Cr1 Fe1 Mn1 Ni1,BCC+B2,6.7,386,1200,
Co1 Cr0.2 Fe1 Ni1 Si0.2,FCC,7.8,130.1,225,195
Co1 Cr0.2 Fe1 Ni1 Si0.2,FCC,7.8,318.2,705,195
Co1 Cr0.2 Fe1 Ni1 Si0.2,FCC,7.8,153.8,320,195
Al1 Cu0.077 Fe0.077 Mg0.077 Si0.231 Zn0.077,FCC,3.2,,422,73
Al1 Cu0.077 Mg0.077 Ni0.077 Si0.231 Zn0.077,FCC,3.2,,534,72
Al1 Cr0.077 Cu0.077 Mg0.077 Si0.231 Zn0.077,FCC,3.1,,490,75
Al1 Cu0.077 Mg0.077 Mn0.077 Si0.231 Zn0.077,FCC,3.2,,622,73
Al1 Cu0.077 Mg0.077 Si0.231 Zn0.077 Zr0.077,FCC+Laves,3.2,,565,
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,,400,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,,,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,,,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,,,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,,,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,,,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,,,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,,,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,,,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,,,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,,,232
Al0.569 Ca0.143 Li0.857 Mg1 Si0.286 Y0.003,,1.6,,556,
Al0.429 Ca0.286 Li1 Mg1 Si0.143,,1.4,,418,
Al0.312 Ca0.021 Li0.792 Mg1 Si0.021,,1.4,,360,
Al0.333 Ca0.011 Li0.844 Mg1 Si0.033,,1.4,,342,
Al0.333 Ca0.011 Li0.867 Mg1 Si0.011,,1.4,,300,
Co1 Cr1 Fe1 Ni1 Pd1,FCC,9.2,295,,201
Co1 Cr1 Fe1 Mn0.2 Ni1 Pd1,FCC+Sec.,9.1,470,650,
Co1 Cr1 Fe1 Mn0.4 Ni1 Pd1,FCC+Sec.,9.1,380,650,
Co1 Cr1 Fe1 Mn0.6 Ni1 Pd1,FCC+Sec.,9,180,650,
Co1 Cr1 Fe1 Mn0.8 Ni1 Pd1,FCC+Sec.,8.9,160,650,
Al0.3 Co1 Cr1 Fe1 Mn1 Ni1,,7.6,,,
Cr1 Fe1 Ni1 Ti0.2,BCC+FCC,7.6,362.2,2297.94,
Cr1 Fe1 Ni1 Ti0.3,BCC+FCC,7.5,510.3,2364.63,
Cr1 Fe1 Ni1 Ti0.4,BCC,7.4,600.3,2475.41,212
Cr1 Fe1 Ni1 Ti0.5,BCC,7.3,709.6,2380.79,208
Cr1 Fe1 Ni1 Ti0.6,BCC,7.2,718.2,1923.15,204
Al1 Cr1 Cu1 Fe1 Mn1,Other,6.5,633,1010,
Al1 Cr1 Cu1 Fe1 Mn1 W0.05,BCC+Sec.,6.7,680,1120,
Al1 Cr1 Cu1 Fe1 Mn1 W0.1,BCC+Sec.,6.8,705,1250,
Al1 Cr1 Cu1 Fe1 Mn1 W0.5,BCC+Sec.,7.9,780,1510,
Co1 Cu1 Fe1 Nb0.5 Ni1,FCC+Laves,8.6,,,
Co0.2 Cu0.2 Fe0.2 Nb1 Ni0.2,FCC+Laves,8.6,,1498,
Co0.133 Cu0.133 Fe0.133 Nb1 Ni0.133,FCC+Laves,8.6,,1635,
Co0.086 Cu0.086 Fe0.086 Nb1 Ni0.086,FCC+Laves,8.6,,1703,
Co0.067 Cu0.067 Fe0.067 Nb1 Ni0.067,FCC+Laves,8.6,,1415,
Co0.2 Cr0.2 Fe1 Mn0.6,FCC+Sec.,7.8,296,,
B0.006 Co0.201 Cr0.201 Fe1 Mn0.604,FCC+Sec.,7.8,282,,
B0.012 Co0.202 Cr0.202 Fe1 Mn0.607,FCC+Sec.,7.8,306,,
B0.035 Co0.207 Cr0.207 Fe1 Mn0.621,FCC+Sec.,7.7,452,,
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,7.3,,159,
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,7.3,,409,
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,7.3,,355,
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,7.3,,954,
Hf1 Ti1 Zr1,Other,8.3,211,773,
Hf1 Sc1 Ti1 Zr1,Other,6.8,233,1001,
Hf1 Ti1 Y1 Zr1,Other,7,241,554,
Hf1 Sc1 Ti1 Y1 Zr1,Other,6.2,256,793,
Co1 Cr1 Fe1 Ga1 Ni1,FCC+BCC,7.5,,,
Al0.562 Co0.938 Cr0.312 Fe0.312 Ni1,FCC+BCC,7.1,305.4,1129.4,
Al0.581 Co0.968 Cr0.323 Fe0.323 Mo0.032 Ni1,FCC+BCC,7.1,357.3,1159.7,
Al0.6 Co1 Cr0.333 Fe0.333 Mo0.067 Ni1,FCC+BCC,7.1,362.6,1250.8,
Al0.6 Co1 Cr0.333 Fe0.333 Mo0.1 Ni0.967,FCC+BCC,7.2,359.7,1198.3,
Co1 Cr1 Fe1 Mo0.149 Ni1,FCC+Sec.,8.3,210,,
Co1 Cr1 Cu1 Fe1 Ni1,FCC,8.3,,300,206
Co1 Cr1 Cu1 Fe1 Ni1 V0.042,FCC+Sec.,8.3,,303,
Co1 Cr1 Cu1 Fe1 Ni1 V0.087,FCC+Sec.,8.3,,307,
Co1 Cr1 Cu1 Fe1 Ni1 V0.136,FCC+Sec.,8.3,,330,
Co1 Cr1 Cu1 Fe1 Ni1 V0.19,FCC+Sec.,8.2,,616,
Co1 Cr1 Cu1 Ni1 Zn1,BCC+FCC,8.1,,,
Co1 Cr1 Cu1 Ni1 Zn1,BCC+FCC,8.1,,,
Co1 Cr1 Cu1 Ni1 Zn1,BCC+FCC,8.1,,,
Co1 Cr1 Cu1 Ni1 Zn1,FCC+FCC,8.1,615,2121,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,359,1155,107
Nb1 Ta1 Ti1 Zr1,BCC,8.9,358,1144,115
Nb1 Ta1 Ti1,BCC,10,246,620,136
Ta1 Ti1 Zr1,BCC+Sec.,9,485,,
Nb1 Ti1 Zr1,BCC,6.5,295,956,94
Nb1 Ta0.667 Ti0.667 Zr0.333,BCC+Sec.,9.2,294,822,
Nb0.333 Ta0.667 Ti0.667 Zr1,BCC+Sec.,8.6,489,,
Ag1 Al1 Nb1 Ti1 Zn1,,6.7,,,
Ag1 Al1 Nb1 Ti1 Zn1,,6.7,,,
Ag1 Al1 Nb1 Ti1 Zn1,,6.7,,,
Ag1 Al1 Nb1 Ti1 Zn1,,6.7,,,
Ag1 Al1 Nb1 Ti1 Zn1,,6.7,,,
Al0.774 Fe1 Mn0.903 Ni0.484,,6.3,310,,
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,,6.3,330,,
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,,6.2,500,,
Al0.774 Fe1 Mn0.903 Ni0.484,,6.3,340,,
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,,6.3,410,,
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,,6.2,495,,
Al0.774 Fe1 Mn0.903 Ni0.484,,6.3,330,,
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,,6.3,330,,
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,,6.2,490,,
Al1 C1 Co1 Cr1 Fe1 Ni1,FCC+BCC,6.2,,,
Cr1 Cu1 Fe1 Ni1 Ti1,FCC+BCC,7.2,,,
Cr1 Cu1 Fe1 Ni1 Ti1,FCC+BCC,7.2,,,
Cr1 Cu1 Fe1 Ni1 Ti1,FCC+BCC,7.2,,,
Cr1 Cu1 Fe1 Ni1 Ti1,FCC+BCC,7.2,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,435,1100,
Al0.5 Cr1 Cu1 Fe1 Ni1,FCC,7.4,226,,185
Al0.5 Cr1 Cu1 Fe1 Ni1,FCC,7.4,287,,185
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,,1512,137
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,10.2,,1600,143
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,8.7,,1351,128
Hf1 Mo1 Nb1 Ta1 Zr1,BCC,10.9,,1524,141
Hf1 Mo1 Nb1 Ta1 Ti1,BCC,10.8,,1369,155
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,,1007,137
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,10.2,,1045,143
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,8.7,,829,128
Hf1 Mo1 Nb1 Ta1 Zr1,BCC,10.9,,1005,141
Hf1 Mo1 Nb1 Ta1 Ti1,BCC,10.8,,822,155
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,,814,137
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,10.2,,855,143
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,8.7,,721,128
Hf1 Mo1 Nb1 Ta1 Zr1,BCC,10.9,,927,141
Hf1 Mo1 Nb1 Ta1 Ti1,BCC,10.8,,778,155
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,,556,137
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,10.2,,404,143
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,8.7,,301,128
Hf1 Mo1 Nb1 Ta1 Zr1,BCC,10.9,,694,141
Hf1 Mo1 Nb1 Ta1 Ti1,BCC,10.8,,699,155
Hf1 Mo1 Nb1 Ta1 Zr1,BCC,10.9,,278,141
Hf1 Mo1 Nb1 Ta1 Ti1,BCC,10.8,,367,155
Co1 Cr1 Fe1 Ni1,FCC,8.2,,,226
C0.111 Co1 Cr1 Fe1 Ni1 W0.111,FCC,8.5,475,,
C0.429 Co1 Cr1 Fe1 Ni1 W0.429,FCC,9.1,531,,
Al0.267 Co1 Cr0.667 Fe0.667 Ni0.667 Ti0.2,FCC+BCC,7.3,515,2012,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,,1438,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,,1159,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,,1134,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,,1094,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,,1071,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,,1107,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,,1115,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,,1114,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,,,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,,,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,,,107
Al1 Nb1 Ti1 Zr1,B2,5.7,422,1509,
Al1 Nb1 Ti1 Zr1,B2+Sec.,5.7,418,1579,
Al1 Nb1 Ti1 V1 Zr0.5,,5.6,,1480,
Al1 Nb1 Ti1 Zr1,,5.7,539.6,1080,
Nb1 Ti1 V1 Zr1,,6.5,335,1105,
Cr1 Nb1 Ti1 Zr1,,6.6,418,1260,
Al1 Cr1 Fe1 Mo0.5 Ni1,BCC+B2,6.8,623.7,1914.1,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.25,BCC+B2,6.6,712,2161.7,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.4,BCC+B2,6.5,731.9,2185.1,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.5,BCC+B2,6.5,751.7,2228.7,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.6,BCC+B2,6.4,756.1,1314.5,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.75,BCC+B2,6.4,766.2,618.8,
Al1 Cr1 Mo1 Nb1,Other,7.2,,,
Al1 Cr1 Mo1 Nb1,Other,7.2,,,
Al1 Hf1 Nb1 Ti1,B2,7.7,,,
Al1 Hf1 Nb1 Ti1,B2,7.7,,,
Al1 Hf1 Ta1 Ti1,B2,9.7,,,
Al1 Hf1 Ta1 Ti1,B2,9.7,,,
Al1 Mo1 Nb1 Ti1,BCC+Sec.,6.5,,,
Al1 Mo1 Nb1 Ti1,BCC,6.5,509,,151
Al1 Nb1 Ta1 Ti1,BCC+Sec.,8.2,,,
Al1 Nb1 Ta1 Ti1,BCC,8.2,458,,120
Cr1 Mo1 Ta1 Ti1,BCC,9.9,555,,219
Cr1 Mo1 Ta1 Ti1,BCC,9.9,539,,219
Cr1 Nb1 Ta1 Ti1,BCC+Sec.,9.4,,,
Cr1 Nb1 Ta1 Ti1,BCC,9.4,495,,162
Cr1 Nb1 Ti1 W1,BCC+Sec.,9.9,630,,
Cr1 Nb1 Ti1 W1,BCC,9.9,630,,217
Hf1 Nb1 Ta1 Ti1,BCC,10.9,280,,119
Hf1 Nb1 Ta1 Ti1,BCC,10.9,270,,119
Mo1 Nb1 Ta1 Ti1 W1,BCC,11.8,482,,222
Mo1 Nb1 Ta1 Ti1 W1,BCC,11.8,446,,222
Mo1 Nb1 Ta1 Ti1,BCC,10,407,,179
Mo1 Nb1 Ta1 Ti1,BCC,10,431,,179
