composition,phase,density,hv,yield_strength,young_modulus
Mo1 Nb1 Si0.25 Ta1 W1,BCC+Sec.,12.9,399.2,775.3013984,236.4252191
Mo1 Nb1 Si0.5 Ta1 W1,BCC+Sec.,12.2,550.5,1349.071303,223.7595175
Mo1 Nb1 Si0.75 Ta1 W1,BCC+Sec.,11.6,597.3,1352.871881,212.7453747
Mo1 Nb1 Si0.75 Ta1 W1,BCC+Sec.,11.6,631.6415445,960,212.7453747
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,198.8438598,1199.26,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,198.8438598,1269.23,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,198.8438598,1371.21,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,198.8438598,1362.74,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,198.8438598,1241.81,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,198.8438598,930.3,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,198.8438598,729.21,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,198.8438598,494.82,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,198.8438598,366.88,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,198.8438598,290.65,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,198.8438598,258.76,220
C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,FCC+Sec.,7.8,457,1616,214.3244011
C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,FCC+Sec.,7.8,461,1652,214.3244011
C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,FCC+Sec.,7.8,428,1490,214.3244011
C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,FCC+Sec.,7.8,378,1194,214.3244011
Co1 Cr1 Fe1 Ni1,FCC,8.2,127.5599349,361.2795122,226
Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,7.3,250,650.4655878,201.8352376
Al1 Co1 Cr1 Fe1 Ni1,BCC,6.7,500,1111.04061,184
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,5.9,733,1290.596574,160
Al0.5 Co1 Fe1 Ni1 Ti0.5,FCC+BCC,6.9,733,1803.386474,169.7791496
Al0.5 Co1 Cr1 Fe1 Ni1 Ti0.5,FCC+FCC,6.9,640,1670.090117,191.7196918
Al0.5 Co1 Cr1 Fe1 Mn1 Ni1,,7.4,426.6066667,980.9835974,202.2003331
Al0.5 Co1 Cr1 Fe1 Mn1 Ni1 Ta0.2,FCC+BCC+Sec.,7.8,385,825.6608554,202.6581012
Al0.5 Co1 Cr1 Fe1 Mn1 Ni1 Ta0.4,FCC+BCC+Sec.,8.3,486,1067.179832,204.6520085
Al0.55 Co1 Cr1 Fe1 Mn1 Ni1 Ta0.6,FCC+BCC+Sec.,8.6,570,1383.224175,203.7465226
Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,8,387.2692151,1179.468189,219.5327956
Co1 Cr1 Fe1 Mn1 Ni1 Ta0.2,FCC+BCC,8.5,200,480.8855626,220.3999166
Co1 Cr1 Fe1 Mn1 Ni1 Ta0.4,FCC+BCC,9,290,575.8314362,221.6050728
Co1 Cr1 Fe1 Mn1 Ni1 Ta0.6,FCC+BCC,9.4,345,603.6756577,221.7488883
Al0.3 Co1 Cr1 Fe1 Ni1,FCC,7.6,160,511.6472487,210
Al0.3 Co1 Cr1 Fe1 Mo0.1 Ni1,FCC,7.7,200,527.7550216,214
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,FCC,7.5,302.7839836,280,204
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,FCC,7.2,342.9881556,320,195
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,FCC,7.5,302.7839836,1253,204
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,FCC,7.2,342.9881556,1400,195
Co1 Cu1 Fe1 Mn1 Ni1,FCC,8.4,212.6451905,495.7169849,189
Co1 Cu1 Fe1 Mn1 Ni1,FCC,8.4,212.6451905,495.7169849,189
Co1 Cu1 Fe1 Mn1 Ni1,FCC,8.4,212.6451905,495.7169849,189
Co1 Cr1 Fe1 Mo0.15 Ni1,FCC,8.3,175.8544905,489,231
Co1 Cr1 Fe1 Mo0.15 Ni1,,8.3,175.8544905,873,229.514546
Co1 Cr1 Fe1 Mo0.15 Ni1,,8.3,175.8544905,952,229.514546
Co1 Cr1 Fe1 Mo0.15 Ni1,FCC,8.3,175.8544905,1136,231
Co1 Cr1 Fe1 Mo0.15 Ni1,FCC,8.3,175.8544905,1301,231
Co1 Cr1 Fe1 Mo0.15 Ni1,,8.3,175.8544905,1311,229.514546
Co1 Cr1 Fe1 Mo0.15 Ni1,,8.3,175.8544905,1273,229.514546
Co0.139 Cr0.446 Cu0.99 Ni1 Si0.277,,7.6,142.5,777,166.4014116
Co0.139 Cr0.446 Cu0.99 Ni1 Si0.277,,7.6,147.4,582.966094,166.4014116
Co0.139 Cr0.446 Cu0.99 Ni1 Si0.277,,7.6,155.2,586.7281161,166.4014116
Al1 Co1 Cr0.091 Nb0.727 W0.212,,7.2,1084,1876.397029,144.7324306
Co1 Cr0.917 Ni1 Ta0.5 Ti0.75,,8.8,1011,2316.681669,204.2535536
Al0.947 Co0.158 Mo1 Ni0.289 W0.237,,8,725,650.1645983,214.1835176
Co0.043 Nb0.638 Ni1 Ta0.255 Ti0.191,,9.5,815,2267.602362,163.9016587
Co0.273 Cr0.477 Nb0.477 Ni0.045 Ti1,,6.4,422,776.1098377,151.7781167
Co1 Cr0.487 Nb0.231 Ta0.026 Ti0.821,,6.9,856,2129.36384,176.1096105
Co0.564 Nb0.795 Ta0.103 Ti1 W0.103,,7.7,277,640.4823505,143.8828841
Al1 Co1 Cu1 Fe1 Ni0.5,FCC+BCC+B2,6.9,430.9,929,150.0191321
Al1 Co1 Cu1 Fe1 Ni0.8,FCC+BCC+B2,7,420,1021,152.5641306
Al1 Co1 Cu1 Fe1 Ni1,FCC+BCC+B2,7,391.4,994,153.3772391
Al0.667 Co0.667 Cu0.667 Fe0.667 Ni1,FCC+BCC+B2,7.2,323.8,680,157.5285109
Al0.5 Co0.5 Cu0.5 Fe0.5 Ni1,FCC+BCC+B2,7.3,299.2,544,160.4079138
Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,FCC,7.5,279.6,268,167
Al0.5 Cr1 Fe1 Mn1 Ni1,BCC+B2,7.1,353,1091,200.578822
Al0.6 Cr1 Fe1 Mn1 Ni1,BCC+B2,6.9,361,1130,195.9081122
Al0.7 Cr1 Fe1 Mn1 Ni1,BCC+B2,6.8,375,1170,192.564077
Al0.8 Cr1 Fe1 Mn1 Ni1,BCC+B2,6.7,386,1200,189.3080082
Co1 Cr0.2 Fe1 Ni1 Si0.2,FCC,7.8,130.1,225,195
Co1 Cr0.2 Fe1 Ni1 Si0.2,FCC,7.8,318.2,705,195
Co1 Cr0.2 Fe1 Ni1 Si0.2,FCC,7.8,153.8,320,195
Al1 Cu0.077 Fe0.077 Mg0.077 Si0.231 Zn0.077,FCC,3.2,790.1733333,422,73
Al1 Cu0.077 Mg0.077 Ni0.077 Si0.231 Zn0.077,FCC,3.2,777.5733333,534,72
Al1 Cr0.077 Cu0.077 Mg0.077 Si0.231 Zn0.077,FCC,3.1,793.42,490,75
Al1 Cu0.077 Mg0.077 Mn0.077 Si0.231 Zn0.077,FCC,3.2,788.1933333,622,73
Al1 Cu0.077 Mg0.077 Si0.231 Zn0.077 Zr0.077,FCC+Laves,3.2,791.5,565,65.30582506
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,183.0364905,400,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,183.0364905,488.5353332,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,183.0364905,488.5353332,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,183.0364905,488.5353332,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,183.0364905,488.5353332,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,183.0364905,488.5353332,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,183.0364905,488.5353332,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,183.0364905,488.5353332,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,183.0364905,488.5353332,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,183.0364905,488.5353332,232
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,8.3,183.0364905,488.5353332,232
Al0.569 Ca0.143 Li0.857 Mg1 Si0.286 Y0.003,,1.6,604.6870889,556,87.91699164
Al0.429 Ca0.286 Li1 Mg1 Si0.143,,1.4,601.9407778,418,86.60696588
Al0.312 Ca0.021 Li0.792 Mg1 Si0.021,,1.4,600.261,360,96.38878171
Al0.333 Ca0.011 Li0.844 Mg1 Si0.033,,1.4,598.3476667,342,95.18128419
Al0.333 Ca0.011 Li0.867 Mg1 Si0.011,,1.4,598.8143333,300,95.37695046
Co1 Cr1 Fe1 Ni1 Pd1,FCC,9.2,295,596.2824689,201
Co1 Cr1 Fe1 Mn0.2 Ni1 Pd1,FCC+Sec.,9.1,470,650,219.478231
Co1 Cr1 Fe1 Mn0.4 Ni1 Pd1,FCC+Sec.,9.1,380,650,219.4678273
Co1 Cr1 Fe1 Mn0.6 Ni1 Pd1,FCC+Sec.,9,180,650,218.2271844
Co1 Cr1 Fe1 Mn0.8 Ni1 Pd1,FCC+Sec.,8.9,160,650,216.9872078
Al0.3 Co1 Cr1 Fe1 Mn1 Ni1,,7.6,397.26,1138.501085,208.4152282
Cr1 Fe1 Ni1 Ti0.2,BCC+FCC,7.6,362.2,2297.94,219.8183707
Cr1 Fe1 Ni1 Ti0.3,BCC+FCC,7.5,510.3,2364.63,216.1581439
Cr1 Fe1 Ni1 Ti0.4,BCC,7.4,600.3,2475.41,212
Cr1 Fe1 Ni1 Ti0.5,BCC,7.3,709.6,2380.79,208
Cr1 Fe1 Ni1 Ti0.6,BCC,7.2,718.2,1923.15,204
Al1 Cr1 Cu1 Fe1 Mn1,Other,6.5,633,1010,168.8180878
Al1 Cr1 Cu1 Fe1 Mn1 W0.05,BCC+Sec.,6.7,680,1120,171.9976436
Al1 Cr1 Cu1 Fe1 Mn1 W0.1,BCC+Sec.,6.8,705,1250,173.9467708
Al1 Cr1 Cu1 Fe1 Mn1 W0.5,BCC+Sec.,7.9,780,1510,192.6845882
Co1 Cu1 Fe1 Nb0.5 Ni1,FCC+Laves,8.6,200.8510889,396.8781809,176.9985703
Co0.2 Cu0.2 Fe0.2 Nb1 Ni0.2,FCC+Laves,8.6,437.9197222,1498,139.0853254
Co0.133 Cu0.133 Fe0.133 Nb1 Ni0.133,FCC+Laves,8.6,429.5170079,1635,130.548656
Co0.086 Cu0.086 Fe0.086 Nb1 Ni0.086,FCC+Laves,8.6,433.4286068,1703,123.8002374
Co0.067 Cu0.067 Fe0.067 Nb1 Ni0.067,FCC+Laves,8.6,426.8849401,1415,120.6897409
Co0.2 Cr0.2 Fe1 Mn0.6,FCC+Sec.,7.8,296,370.4285515,213.5672721
B0.006 Co0.201 Cr0.201 Fe1 Mn0.604,FCC+Sec.,7.8,282,338.4763846,213.3445083
B0.012 Co0.202 Cr0.202 Fe1 Mn0.607,FCC+Sec.,7.8,306,376.2281837,213.1288314
B0.035 Co0.207 Cr0.207 Fe1 Mn0.621,FCC+Sec.,7.7,452,969.6348557,211.1103988
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,7.3,355.9077619,159,195.0309561
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,7.3,355.9077619,409,195.0309561
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,7.3,355.9077619,355,195.0309561
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,7.3,355.9077619,954,195.0309561
Hf1 Ti1 Zr1,Other,8.3,211,773,81.11674715
Hf1 Sc1 Ti1 Zr1,Other,6.8,233,1001,76.46535345
Hf1 Ti1 Y1 Zr1,Other,7,241,554,78.88184971
Hf1 Sc1 Ti1 Y1 Zr1,Other,6.2,256,793,77.29926162
Co1 Cr1 Fe1 Ga1 Ni1,FCC+BCC,7.5,462.0708222,926.4739631,199.7937492
Al0.562 Co0.938 Cr0.312 Fe0.312 Ni1,FCC+BCC,7.1,305.4,1129.4,179.4491232
Al0.581 Co0.968 Cr0.323 Fe0.323 Mo0.032 Ni1,FCC+BCC,7.1,357.3,1159.7,180.5793478
Al0.6 Co1 Cr0.333 Fe0.333 Mo0.067 Ni1,FCC+BCC,7.1,362.6,1250.8,181.7063586
Al0.6 Co1 Cr0.333 Fe0.333 Mo0.1 Ni0.967,FCC+BCC,7.2,359.7,1198.3,184.054561
Co1 Cr1 Fe1 Mo0.149 Ni1,FCC+Sec.,8.3,210,740.7984234,229.4964009
Co1 Cr1 Cu1 Fe1 Ni1,FCC,8.3,234.3997179,300,206
Co1 Cr1 Cu1 Fe1 Ni1 V0.042,FCC+Sec.,8.3,196.6890513,303,204.766534
Co1 Cr1 Cu1 Fe1 Ni1 V0.087,FCC+Sec.,8.3,196.0957179,307,204.3181328
Co1 Cr1 Cu1 Fe1 Ni1 V0.136,FCC+Sec.,8.3,194.3496068,330,203.8388099
Co1 Cr1 Cu1 Fe1 Ni1 V0.19,FCC+Sec.,8.2,193.5566068,616,202.0856965
Co1 Cr1 Cu1 Ni1 Zn1,BCC+FCC,8.1,500.1138434,1298.734462,185.4798892
Co1 Cr1 Cu1 Ni1 Zn1,BCC+FCC,8.1,500.1138434,1298.734462,185.4798892
Co1 Cr1 Cu1 Ni1 Zn1,BCC+FCC,8.1,500.1138434,1298.734462,185.4798892
Co1 Cr1 Cu1 Ni1 Zn1,FCC+FCC,8.1,615,2121,185.4798892
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,359,1155,107
Nb1 Ta1 Ti1 Zr1,BCC,8.9,358,1144,115
Nb1 Ta1 Ti1,BCC,10,246,620,136
Ta1 Ti1 Zr1,BCC+Sec.,9,485,690.4976817,117.8224446
Nb1 Ti1 Zr1,BCC,6.5,295,956,94
Nb1 Ta0.667 Ti0.667 Zr0.333,BCC+Sec.,9.2,294,822,121.2715863
Nb0.333 Ta0.667 Ti0.667 Zr1,BCC+Sec.,8.6,489,791.3780725,109.4853128
Ag1 Al1 Nb1 Ti1 Zn1,,6.7,533.6521905,1033.393135,114.9432552
Ag1 Al1 Nb1 Ti1 Zn1,,6.7,533.6521905,1033.393135,114.9432552
Ag1 Al1 Nb1 Ti1 Zn1,,6.7,533.6521905,1033.393135,114.9432552
Ag1 Al1 Nb1 Ti1 Zn1,,6.7,533.6521905,1033.393135,114.9432552
Ag1 Al1 Nb1 Ti1 Zn1,,6.7,533.6521905,1033.393135,114.9432552
Al0.774 Fe1 Mn0.903 Ni0.484,,6.3,310,1373.786897,160.1573272
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,,6.3,330,1380.960365,159.9738324
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,,6.2,500,1101.566769,158.327422
Al0.774 Fe1 Mn0.903 Ni0.484,,6.3,340,1345.464397,160.1573272
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,,6.3,410,896.4712623,159.9738324
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,,6.2,495,1013.884492,158.327422
Al0.774 Fe1 Mn0.903 Ni0.484,,6.3,330,1357.368839,160.1573272
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,,6.3,330,1380.960365,159.9738324
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,,6.2,490,1012.902001,158.327422
Al1 C1 Co1 Cr1 Fe1 Ni1,FCC+BCC,6.2,693.788,1306.437136,167.8148519
Cr1 Cu1 Fe1 Ni1 Ti1,FCC+BCC,7.2,579.7175397,1383.105754,180.9524405
Cr1 Cu1 Fe1 Ni1 Ti1,FCC+BCC,7.2,579.7175397,1383.105754,180.9524405
Cr1 Cu1 Fe1 Ni1 Ti1,FCC+BCC,7.2,579.7175397,1383.105754,180.9524405
Cr1 Cu1 Fe1 Ni1 Ti1,FCC+BCC,7.2,579.7175397,1383.105754,180.9524405
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,435,1100,219.5327956
Al0.5 Cr1 Cu1 Fe1 Ni1,FCC,7.4,226,628.1686619,185
Al0.5 Cr1 Cu1 Fe1 Ni1,FCC,7.4,287,722.4942838,185
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,519.6967778,1512,137
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,10.2,510.0876667,1600,143
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,8.7,494.8125,1351,128
Hf1 Mo1 Nb1 Ta1 Zr1,BCC,10.9,521.6409902,1524,141
Hf1 Mo1 Nb1 Ta1 Ti1,BCC,10.8,495.5893333,1369,155
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,519.6967778,1007,137
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,10.2,510.0876667,1045,143
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,8.7,494.8125,829,128
Hf1 Mo1 Nb1 Ta1 Zr1,BCC,10.9,521.6409902,1005,141
Hf1 Mo1 Nb1 Ta1 Ti1,BCC,10.8,495.5893333,822,155
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,519.6967778,814,137
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,10.2,510.0876667,855,143
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,8.7,494.8125,721,128
Hf1 Mo1 Nb1 Ta1 Zr1,BCC,10.9,521.6409902,927,141
Hf1 Mo1 Nb1 Ta1 Ti1,BCC,10.8,495.5893333,778,155
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,519.6967778,556,137
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,10.2,510.0876667,404,143
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,8.7,494.8125,301,128
Hf1 Mo1 Nb1 Ta1 Zr1,BCC,10.9,521.6409902,694,141
Hf1 Mo1 Nb1 Ta1 Ti1,BCC,10.8,495.5893333,699,155
Hf1 Mo1 Nb1 Ta1 Zr1,BCC,10.9,521.6409902,278,141
Hf1 Mo1 Nb1 Ta1 Ti1,BCC,10.8,495.5893333,367,155
Co1 Cr1 Fe1 Ni1,FCC,8.2,127.5599349,361.2795122,226
C0.111 Co1 Cr1 Fe1 Ni1 W0.111,FCC,8.5,475,1180.440334,228.0306611
C0.429 Co1 Cr1 Fe1 Ni1 W0.429,FCC,9.1,531,1392.680999,232.7601219
Al0.267 Co1 Cr0.667 Fe0.667 Ni0.667 Ti0.2,FCC+BCC,7.3,515,2012,199.786515
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,351.0332345,1438,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,351.0332345,1159,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,351.0332345,1134,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,351.0332345,1094,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,351.0332345,1071,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,351.0332345,1107,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,351.0332345,1115,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,351.0332345,1114,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,351.0332345,846.5689548,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,351.0332345,846.5689548,107
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,351.0332345,846.5689548,107
Al1 Nb1 Ti1 Zr1,B2,5.7,422,1509,88.28777278
Al1 Nb1 Ti1 Zr1,B2+Sec.,5.7,418,1579,88.28777278
Al1 Nb1 Ti1 V1 Zr0.5,,5.6,437.5181037,1480,97.25317913
Al1 Nb1 Ti1 Zr1,,5.7,539.6,1080,88.28777278
Nb1 Ti1 V1 Zr1,,6.5,335,1105,100.3702541
Cr1 Nb1 Ti1 Zr1,,6.6,418,1260,128.5975065
Al1 Cr1 Fe1 Mo0.5 Ni1,BCC+B2,6.8,623.7,1914.1,196.8756698
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.25,BCC+B2,6.6,712,2161.7,191.6180686
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.4,BCC+B2,6.5,731.9,2185.1,188.8468235
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.5,BCC+B2,6.5,751.7,2228.7,187.9364296
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.6,BCC+B2,6.4,756.1,1314.5,185.90208
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.75,BCC+B2,6.4,766.2,618.8,184.5876193
Al1 Cr1 Mo1 Nb1,Other,7.2,714.5124074,817.9359527,187.8458294
Al1 Cr1 Mo1 Nb1,Other,7.2,714.5124074,817.9359527,187.8458294
Al1 Hf1 Nb1 Ti1,B2,7.7,401.7015905,889.922726,89.09041201
Al1 Hf1 Nb1 Ti1,B2,7.7,401.7015905,889.922726,89.09041201
Al1 Hf1 Ta1 Ti1,B2,9.7,373.8777384,1205.478421,109.7370047
Al1 Hf1 Ta1 Ti1,B2,9.7,373.8777384,1205.478421,109.7370047
Al1 Mo1 Nb1 Ti1,BCC+Sec.,6.5,564.3032222,470.6476294,151.5260456
Al1 Mo1 Nb1 Ti1,BCC,6.5,509,579.5136896,151
Al1 Nb1 Ta1 Ti1,BCC+Sec.,8.2,447.788,909.9119526,119.1187613
Al1 Nb1 Ta1 Ti1,BCC,8.2,458,883.6628457,120
Cr1 Mo1 Ta1 Ti1,BCC,9.9,555,1200.692293,219
Cr1 Mo1 Ta1 Ti1,BCC,9.9,539,1203.312661,219
Cr1 Nb1 Ta1 Ti1,BCC+Sec.,9.4,394.5010683,925.8674335,165.73109
Cr1 Nb1 Ta1 Ti1,BCC,9.4,495,968.6460897,162
Cr1 Nb1 Ti1 W1,BCC+Sec.,9.9,630,1381.768313,217.2354279
Cr1 Nb1 Ti1 W1,BCC,9.9,630,1381.768313,217
Hf1 Nb1 Ta1 Ti1,BCC,10.9,280,715.6811922,119
Hf1 Nb1 Ta1 Ti1,BCC,10.9,270,714.793497,119
Mo1 Nb1 Ta1 Ti1 W1,BCC,11.8,482,900.2837838,222
Mo1 Nb1 Ta1 Ti1 W1,BCC,11.8,446,832.4603676,222
Mo1 Nb1 Ta1 Ti1,BCC,10,407,751.9030285,179
Mo1 Nb1 Ta1 Ti1,BCC,10,431,841.5993869,179
